number,player,team,age,season,gp,w,l,min_column,pts,fgm,fga,fg,threepm,threepa,threep,ftm,fta,ft,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,plus_minus,rankings,predictions
126,Davis Bertans,WAS,27,2019-20,54,20,34,29.3,15.4,4.9,11.3,43.4,3.7,8.7,42.4,1.9,2.3,85.2,0.6,3.9,4.5,1.7,1.1,0.7,0.6,2.6,26.2,1.0,0.0,-0.3,79.0,79.0
127,De'Aaron Fox,SAC,22,2019-20,51,20,31,32.0,21.1,7.7,16.0,48.0,1.1,3.6,29.2,4.7,6.7,70.5,0.7,3.2,3.8,6.8,3.1,1.5,0.5,2.8,38.7,9.0,0.0,-2.4,85.0,86.0
128,De'Andre Hunter,ATL,22,2019-20,63,19,44,32.0,12.3,4.4,10.8,41.0,1.7,4.8,35.5,1.7,2.3,76.4,0.7,3.8,4.5,1.8,1.6,0.7,0.3,2.9,21.8,3.0,0.0,-4.1,75.0,75.0
129,De'Anthony Melton,MEM,22,2019-20,60,27,33,19.5,7.6,2.7,6.7,40.1,0.7,2.3,28.6,1.6,2.0,76.9,0.7,3.0,3.7,2.9,1.4,1.3,0.3,1.8,19.8,0.0,0.0,2.0,75.0,74.0
130,DeAndre Jordan,BKN,31,2019-20,56,27,29,22.0,8.3,3.4,5.1,66.6,0.0,0.0,0.0,1.5,2.2,68.0,2.5,7.5,10.0,1.9,1.3,0.3,0.9,2.0,25.6,13.0,0.0,-0.7,80.0,79.0
131,DeAndre' Bembry,ATL,25,2019-20,43,10,33,21.3,5.8,2.4,5.3,45.6,0.3,1.5,23.1,0.6,1.1,54.2,0.8,2.7,3.5,1.9,1.4,1.3,0.4,2.0,16.6,2.0,0.0,-6.0,73.0,73.0
132,DeMar DeRozan,SAS,30,2019-20,68,31,37,34.1,22.1,8.2,15.4,53.1,0.1,0.5,25.7,5.6,6.6,84.5,0.6,4.9,5.5,5.6,2.4,1.0,0.3,2.6,38.7,7.0,0.0,-1.7,86.0,89.0
133,DeMarre Carroll,HOU,33,2019-20,24,10,14,12.1,3.6,1.0,2.8,37.9,0.3,1.4,24.2,1.2,1.8,69.0,0.5,1.8,2.3,1.0,0.7,0.3,0.2,1.3,8.9,0.0,0.0,-0.1,73.0,73.0
134,Dean Wade,CLE,23,2019-20,12,1,11,6.0,1.7,0.8,1.1,69.2,0.2,0.3,50.0,0.0,0.1,0.0,0.3,1.3,1.6,0.2,0.3,0.2,0.3,0.7,5.1,0.0,0.0,-0.8,70.0,70.0
135,Deandre Ayton,PHX,21,2019-20,38,20,18,32.5,18.2,8.2,14.9,54.6,0.1,0.3,23.1,1.8,2.3,75.3,3.9,7.6,11.5,1.9,2.1,0.7,1.5,3.1,39.3,23.0,0.0,2.6,84.0,85.0
136,Dejounte Murray,SAS,23,2019-20,66,29,37,25.6,10.9,4.5,9.7,46.2,0.6,1.7,36.9,1.4,1.7,79.8,1.0,4.8,5.8,4.1,1.9,1.7,0.3,2.2,28.0,6.0,0.0,-2.9,80.0,77.0
137,Delon Wright,DAL,28,2019-20,73,42,31,21.5,6.9,2.6,5.6,46.2,0.6,1.7,37.0,1.1,1.4,77.0,1.0,2.9,3.8,3.3,1.0,1.2,0.3,1.3,19.9,1.0,0.0,0.5,75.0,74.0
138,Dennis Schroder,OKC,26,2019-20,65,40,25,30.8,18.9,7.0,14.8,46.9,1.9,5.0,38.5,3.0,3.6,83.9,0.3,3.3,3.6,4.0,2.6,0.7,0.2,2.2,29.5,0.0,0.0,3.6,80.0,82.0
140,Dennis Smith Jr.,NYK,22,2019-20,34,7,27,15.8,5.5,2.1,6.2,34.1,0.5,1.6,29.6,0.8,1.6,50.9,0.6,1.7,2.3,2.9,1.7,0.8,0.2,1.9,14.0,0.0,0.0,-5.7,72.0,73.0
145,Denzel Valentine,CHI,26,2019-20,36,12,24,13.6,6.8,2.7,6.6,40.9,1.3,3.8,33.6,0.2,0.2,75.0,0.3,1.8,2.1,1.2,0.7,0.7,0.2,1.4,13.0,0.0,0.0,-1.1,76.0,73.0
146,Deonte Burton,OKC,26,2019-20,39,22,17,9.1,2.7,1.1,3.2,34.4,0.3,1.4,18.9,0.2,0.4,57.1,0.2,1.3,1.5,0.4,0.5,0.2,0.3,0.9,5.9,0.0,0.0,-2.6,70.0,70.0
147,Derrick Favors,NOP,28,2019-20,51,24,27,24.4,9.0,4.1,6.6,61.7,0.0,0.1,14.3,0.8,1.4,56.3,3.2,6.6,9.8,1.6,1.1,0.6,0.9,2.1,26.6,18.0,0.0,2.3,77.0,79.0
148,Derrick Jones Jr.,MIA,23,2019-20,59,34,25,23.3,8.5,3.1,5.9,52.7,0.6,2.2,28.0,1.6,2.1,77.2,1.1,2.8,3.9,1.1,0.5,1.0,0.6,2.2,19.2,0.0,0.0,-0.5,75.0,76.0
149,Derrick Rose,DET,31,2019-20,50,17,33,26.0,18.1,7.4,15.1,49.0,0.9,2.9,30.6,2.4,2.8,87.1,0.5,1.9,2.4,5.6,2.5,0.8,0.3,1.0,30.2,4.0,0.0,-1.7,81.0,79.0
150,Derrick Walton Jr.,DET,25,2019-20,26,15,11,9.6,2.0,0.7,1.5,46.2,0.4,0.9,41.7,0.3,0.3,77.8,0.1,0.5,0.6,1.0,0.2,0.3,0.0,0.8,5.0,0.0,0.0,-0.3,69.0,72.0
155,Derrick White,SAS,25,2019-20,68,32,36,24.7,11.3,3.7,8.1,45.8,1.2,3.2,36.6,2.6,3.1,85.3,0.5,2.8,3.3,3.5,1.3,0.6,0.9,2.2,23.7,0.0,0.0,0.6,79.0,79.0
156,Devin Booker,PHX,23,2019-20,70,34,36,35.9,26.6,9.0,18.3,48.9,2.0,5.7,35.4,6.7,7.3,91.9,0.4,3.8,4.2,6.5,3.8,0.7,0.3,3.0,40.6,11.0,0.0,1.9,87.0,89.0
157,Devon Hall,OKC,24,2019-20,11,6,5,7.3,1.8,0.5,2.7,20.0,0.4,1.5,23.5,0.4,0.7,50.0,0.2,0.5,0.6,1.2,0.5,0.4,0.1,0.5,5.3,0.0,0.0,0.8,67.0,69.0
158,Devontae Cacok,LAL,23,2019-20,1,0,1,8.9,6.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,5.0,69.0,75.0
159,Devonte' Graham,CHA,25,2019-20,63,23,40,35.1,18.2,5.8,15.3,38.2,3.5,9.3,37.3,3.0,3.7,82.0,0.7,2.7,3.4,7.5,2.9,1.0,0.2,1.8,34.2,17.0,0.0,-2.9,79.0,85.0
160,Dewan Hernandez,TOR,23,2019-20,6,6,0,4.7,2.3,0.8,2.3,35.7,0.2,0.3,50.0,0.5,0.8,60.0,0.8,1.5,2.3,0.5,0.5,0.2,0.0,1.0,5.9,0.0,0.0,1.8,68.0,70.0
161,Dewayne Dedmon,ATL,30,2019-20,44,17,27,17.6,5.8,2.3,5.8,40.0,0.5,2.4,20.6,0.7,0.8,83.3,1.4,4.3,5.7,0.5,1.3,0.6,0.9,3.0,16.6,3.0,0.0,-0.6,72.0,74.0
162,Dillon Brooks,MEM,24,2019-20,73,34,39,28.9,16.2,6.0,14.6,40.7,2.0,5.6,35.8,2.2,2.8,80.8,0.9,2.4,3.3,2.1,1.7,0.9,0.4,3.8,25.3,0.0,0.0,-0.6,77.0,78.0
163,Dion Waiters,LAL,28,2019-20,10,4,6,20.7,11.1,4.1,9.9,41.4,1.5,4.7,31.9,1.4,1.7,82.4,0.2,2.2,2.4,2.0,1.6,0.4,0.6,2.1,18.4,0.0,0.0,2.9,73.0,74.0
164,Domantas Sabonis,IND,24,2019-20,62,37,25,34.8,18.5,7.4,13.7,54.0,0.3,1.1,25.4,3.5,4.8,72.3,3.0,9.4,12.4,5.0,2.7,0.8,0.5,3.1,41.9,50.0,4.0,2.6,85.0,87.0
165,Donovan Mitchell,UTA,23,2019-20,69,43,26,34.3,24.0,8.7,19.4,44.9,2.5,6.9,36.6,4.0,4.7,86.3,0.8,3.6,4.4,4.3,2.7,1.0,0.2,2.5,36.6,1.0,0.0,1.6,88.0,88.0
166,Donta Hall,BKN,22,2019-20,9,4,5,14.8,4.3,1.7,2.4,68.2,0.0,0.0,0.0,1.0,2.0,50.0,1.6,2.7,4.2,0.4,0.6,0.3,0.7,2.6,12.5,0.0,0.0,-3.9,70.0,73.0
167,Donte DiVincenzo,MIL,23,2019-20,66,53,13,23.0,9.2,3.5,7.7,45.5,1.3,3.7,33.6,1.0,1.3,73.3,1.0,3.8,4.8,2.3,1.4,1.3,0.3,1.7,21.9,1.0,0.0,6.2,77.0,79.0
168,Dorian Finney-Smith,DAL,27,2019-20,71,40,31,29.9,9.5,3.4,7.4,46.6,1.6,4.3,37.6,1.1,1.5,72.2,2.0,3.7,5.7,1.6,1.0,0.6,0.5,2.5,21.4,5.0,0.0,3.9,76.0,77.0
169,Doug McDermott,IND,28,2019-20,69,43,26,19.9,10.3,3.9,7.9,48.8,1.9,4.3,43.5,0.7,0.8,82.8,0.4,2.1,2.5,1.1,0.6,0.2,0.1,1.7,15.1,0.0,0.0,1.5,76.0,76.0
170,Dragan Bender,GSW,22,2019-20,16,10,6,17.8,6.7,2.6,5.8,44.6,0.9,2.7,34.9,0.6,0.9,71.4,1.0,3.6,4.6,1.8,1.3,0.3,0.6,2.6,15.9,0.0,0.0,-0.3,69.0,75.0
171,Draymond Green,GSW,30,2019-20,43,10,33,28.4,8.0,2.9,7.3,38.9,0.8,3.0,27.9,1.5,1.9,75.9,0.5,5.7,6.2,6.2,2.3,1.4,0.8,2.6,28.9,8.0,2.0,-4.5,79.0,75.0
172,Drew Eubanks,SAS,23,2019-20,22,13,9,12.4,4.9,2.0,3.0,64.2,0.0,0.0,100.0,0.9,1.2,76.9,1.3,2.6,3.9,0.7,1.0,0.2,0.8,1.7,12.6,0.0,0.0,-3.2,68.0,74.0
173,Duncan Robinson,MIA,26,2019-20,73,44,29,29.7,13.5,4.4,9.4,47.0,3.7,8.3,44.6,0.9,1.0,93.1,0.1,3.0,3.2,1.4,1.0,0.5,0.3,2.6,20.6,1.0,0.0,4.8,78.0,79.0
174,Dusty Hannahs,MEM,26,2019-20,2,0,2,6.7,6.0,2.0,4.5,44.4,1.0,1.5,66.7,1.0,1.0,100.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,6.6,0.0,0.0,2.5,68.0,74.0
175,Dwayne Bacon,CHA,24,2019-20,39,10,29,17.6,5.7,2.2,6.3,34.8,0.5,1.7,28.4,0.9,1.4,66.0,0.4,2.2,2.6,1.3,0.9,0.6,0.1,1.3,11.8,0.0,0.0,-3.4,70.0,73.0
176,Dwight Howard,LAL,34,2019-20,69,52,17,18.9,7.5,2.9,4.0,72.9,0.0,0.1,60.0,1.6,3.1,51.4,2.5,4.9,7.3,0.7,1.2,0.4,1.1,3.2,20.9,9.0,0.0,2.3,78.0,77.0
177,Dwight Powell,DAL,28,2019-20,40,25,15,26.5,9.4,3.7,5.7,63.8,0.3,1.0,25.6,1.9,2.8,66.7,1.9,3.8,5.7,1.5,0.9,0.9,0.6,2.6,21.7,1.0,0.0,4.9,76.0,77.0
178,Dzanan Musa,BKN,21,2019-20,40,20,20,12.2,4.8,1.6,4.3,37.2,0.5,2.0,24.4,1.1,1.5,75.0,0.5,1.6,2.2,1.1,0.9,0.4,0.0,0.8,9.3,0.0,0.0,-0.6,71.0,73.0
179,E'Twaun Moore,NOP,31,2019-20,56,27,29,18.2,8.3,3.3,7.8,42.6,1.1,3.0,37.7,0.6,0.8,68.9,0.6,1.8,2.3,1.4,0.7,0.6,0.2,1.4,14.8,0.0,0.0,-0.8,73.0,74.0
180,Ed Davis,UTA,31,2019-20,28,16,12,10.8,1.8,0.8,1.6,47.8,0.0,0.0,0.0,0.3,0.5,50.0,1.3,2.5,3.8,0.4,0.5,0.4,0.3,2.2,8.6,0.0,0.0,-3.9,72.0,73.0
181,Edmond Sumner,IND,24,2019-20,31,16,15,14.4,4.9,2.0,4.6,43.0,0.5,1.7,26.4,0.5,0.9,55.2,0.4,1.1,1.5,1.8,0.7,0.5,0.3,1.4,11.0,0.0,0.0,-0.9,71.0,73.0
182,Elfrid Payton,NYK,26,2019-20,45,17,28,27.7,10.0,4.3,9.8,43.9,0.3,1.5,20.3,1.1,1.9,57.0,1.2,3.6,4.7,7.2,2.1,1.6,0.4,2.0,30.1,6.0,1.0,-1.9,77.0,77.0
183,Elie Okobo,PHX,22,2019-20,55,23,32,13.1,4.0,1.3,3.3,39.8,0.5,1.3,35.2,0.9,1.3,70.4,0.3,1.3,1.6,2.1,0.7,0.4,0.1,1.0,9.9,0.0,0.0,-1.2,71.0,72.0
184,Emmanuel Mudiay,UTA,24,2019-20,54,34,20,15.7,7.3,2.8,6.1,46.2,0.6,1.6,34.5,1.2,1.5,75.9,0.3,2.0,2.3,2.1,1.4,0.4,0.2,1.3,13.8,0.0,0.0,-0.8,74.0,75.0
185,Enes Kanter,BOS,28,2019-20,58,36,22,17.0,8.1,3.4,6.0,57.2,0.0,0.1,14.3,1.2,1.7,70.7,2.8,4.6,7.4,1.0,1.0,0.4,0.7,1.7,20.7,9.0,0.0,3.6,76.0,77.0
186,Eric Bledsoe,MIL,30,2019-20,61,48,13,27.0,14.9,5.5,11.5,47.5,1.2,3.5,34.4,2.8,3.5,79.0,0.7,3.9,4.6,5.4,2.4,0.9,0.4,2.1,30.2,2.0,0.0,7.1,83.0,79.0
187,Eric Gordon,HOU,31,2019-20,36,21,15,28.2,14.4,4.8,12.9,36.9,2.7,8.4,31.7,2.3,3.0,76.6,0.3,1.7,2.0,1.5,1.2,0.6,0.4,1.9,20.9,0.0,0.0,0.1,78.0,79.0
188,Eric Mika,SAC,25,2019-20,1,0,1,19.0,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,14.4,0.0,0.0,8.0,68.0,74.0
189,Eric Paschall,GSW,23,2019-20,60,14,46,27.6,14.0,5.3,10.7,49.7,0.6,2.2,28.7,2.7,3.5,77.4,1.4,3.2,4.6,2.1,1.6,0.5,0.2,2.1,23.3,4.0,0.0,-6.3,79.0,78.0
190,Ersan Ilyasova,MIL,33,2019-20,63,48,15,15.7,6.6,2.3,5.0,46.6,0.8,2.2,36.5,1.1,1.4,82.8,1.0,3.8,4.8,0.8,0.5,0.4,0.3,1.5,14.9,5.0,0.0,1.3,76.0,75.0
191,Evan Fournier,ORL,27,2019-20,66,28,38,31.4,18.5,6.6,14.1,46.7,2.6,6.6,39.9,2.7,3.3,81.8,0.3,2.3,2.6,3.2,1.9,1.1,0.2,2.4,28.4,0.0,0.0,-1.2,80.0,79.0
192,Evan Turner,MIN,31,2019-20,19,3,16,13.2,3.3,1.3,3.5,37.3,0.0,0.3,0.0,0.6,0.7,85.7,0.4,1.6,2.0,2.0,1.4,0.5,0.4,1.1,10.0,0.0,0.0,-3.4,73.0,70.0
193,Frank Jackson,NOP,22,2019-20,59,26,33,13.5,6.3,2.3,5.6,40.5,0.8,2.4,32.6,0.9,1.3,74.7,0.4,1.0,1.4,1.0,0.8,0.3,0.1,1.3,9.8,0.0,0.0,-1.0,71.0,72.0
194,Frank Kaminsky,PHX,27,2019-20,39,19,20,19.9,9.7,3.5,7.9,45.0,1.1,3.2,33.1,1.6,2.3,67.8,0.9,3.6,4.5,1.9,0.9,0.4,0.3,1.9,18.9,1.0,0.0,-0.2,75.0,76.0
195,Frank Mason,MIL,26,2019-20,9,6,3,13.1,6.9,2.6,5.7,45.1,0.7,2.3,28.6,1.1,1.9,58.8,0.6,1.6,2.1,3.2,1.2,0.6,0.1,1.2,15.0,0.0,0.0,0.2,69.0,74.0
196,Frank Ntilikina,NYK,21,2019-20,57,19,38,20.8,6.3,2.3,5.8,39.3,0.8,2.4,32.1,0.9,1.0,86.4,0.4,1.7,2.1,3.0,1.2,0.9,0.3,2.5,15.8,1.0,0.0,-1.7,73.0,73.0
197,Fred VanVleet,TOR,26,2019-20,54,40,14,35.7,17.6,5.9,14.3,41.3,2.7,6.9,39.0,3.1,3.7,84.8,0.3,3.4,3.8,6.6,2.2,1.9,0.3,2.4,36.3,8.0,0.0,3.8,85.0,85.0
198,Furkan Korkmaz,PHI,22,2019-20,72,42,30,21.7,9.8,3.4,7.8,43.0,2.0,4.9,40.2,1.1,1.4,75.5,0.3,2.1,2.3,1.1,0.8,0.6,0.2,1.4,15.8,0.0,0.0,1.3,75.0,75.0
199,Gabe Vincent,MIA,24,2019-20,9,5,4,9.2,2.4,0.9,4.1,21.6,0.7,3.0,22.2,0.0,0.0,0.0,0.0,0.6,0.6,0.7,0.1,0.6,0.0,0.7,5.7,0.0,0.0,-3.4,67.0,71.0
200,Garrett Temple,BKN,34,2019-20,62,30,32,27.9,10.3,3.6,9.5,37.8,2.0,6.2,32.9,1.1,1.4,80.5,0.5,3.0,3.5,2.5,1.0,0.8,0.5,1.7,21.1,2.0,0.0,-0.7,74.0,76.0
201,Garrison Mathews,WAS,23,2019-20,18,8,10,12.6,5.4,1.3,3.1,42.9,1.1,2.6,41.3,1.7,1.9,91.2,0.3,1.0,1.3,0.6,0.4,0.4,0.1,1.8,8.9,0.0,0.0,1.9,71.0,72.0
202,Gary Clark,ORL,25,2019-20,42,23,19,13.5,3.7,1.3,3.2,40.6,0.9,2.6,35.1,0.2,0.2,90.0,0.9,1.7,2.6,0.4,0.2,0.1,0.5,1.1,9.2,0.0,0.0,-1.3,72.0,72.0
203,Gary Harris,DEN,25,2019-20,56,37,19,31.8,10.4,3.9,9.3,42.0,1.3,3.8,33.3,1.3,1.6,81.5,0.5,2.4,2.9,2.1,1.1,1.4,0.3,2.1,20.8,0.0,0.0,2.2,76.0,78.0
204,Gary Payton II,WAS,27,2019-20,29,13,16,14.9,3.9,1.7,4.0,41.4,0.4,1.6,28.3,0.1,0.3,50.0,0.9,1.9,2.8,1.7,0.7,1.1,0.2,1.9,13.1,1.0,0.0,-4.8,72.0,72.0
205,Gary Trent Jr.,POR,21,2019-20,61,29,32,21.8,8.9,3.2,7.2,44.4,1.8,4.4,41.8,0.6,0.7,82.2,0.4,1.2,1.6,1.0,0.3,0.8,0.3,1.5,15.1,0.0,0.0,-0.9,77.0,74.0
206,George Hill,MIL,34,2019-20,59,47,12,21.5,9.4,3.3,6.4,51.6,1.4,3.0,46.0,1.4,1.7,84.2,0.8,2.2,3.0,3.1,1.0,0.8,0.1,1.4,19.2,0.0,0.0,5.1,77.0,77.0
207,Georges Niang,UTA,27,2019-20,66,41,25,14.0,5.9,2.1,4.9,43.8,1.4,3.4,40.0,0.3,0.4,83.3,0.2,1.7,1.9,0.7,0.5,0.3,0.1,1.1,9.8,0.0,0.0,-0.6,73.0,73.0
208,Giannis Antetokounmpo,MIL,25,2019-20,63,51,12,30.4,29.5,10.9,19.7,55.3,1.4,4.7,30.4,6.3,10.0,63.3,2.2,11.4,13.6,5.6,3.7,1.0,1.0,3.1,56.6,56.0,4.0,10.8,97.0,96.0
209,Glenn Robinson III,PHI,26,2019-20,62,17,45,28.8,11.7,4.6,9.5,48.6,1.2,3.2,39.1,1.2,1.4,86.0,1.3,3.0,4.4,1.5,0.9,0.9,0.3,1.6,21.8,1.0,0.0,-4.8,75.0,77.0
210,Goga Bitadze,IND,20,2019-20,54,32,22,8.7,3.2,1.3,2.8,46.7,0.1,0.8,19.0,0.4,0.6,72.7,0.5,1.5,2.0,0.4,0.5,0.2,0.7,1.2,8.3,1.0,0.0,-0.3,73.0,72.0
211,Goran Dragic,MIA,34,2019-20,59,37,22,28.2,16.2,5.4,12.3,44.1,2.1,5.7,36.7,3.2,4.2,77.6,0.5,2.7,3.2,5.1,2.4,0.7,0.2,2.1,27.7,3.0,0.0,2.8,79.0,79.0
212,Gordon Hayward,BOS,30,2019-20,52,34,18,33.5,17.5,6.7,13.5,50.0,1.6,4.3,38.3,2.4,2.8,85.5,1.1,5.6,6.7,4.1,1.8,0.7,0.4,1.8,33.2,8.0,0.0,6.4,83.0,85.0
213,Gorgui Dieng,MEM,30,2019-20,63,20,43,17.4,7.4,2.6,5.8,45.6,0.9,2.4,35.5,1.2,1.6,77.2,1.4,4.2,5.6,1.2,1.0,0.8,0.9,2.0,20.1,9.0,0.0,-1.6,74.0,75.0
214,Grant Williams,BOS,21,2019-20,69,47,22,15.1,3.4,1.3,3.1,41.2,0.3,1.4,25.0,0.6,0.8,72.2,0.9,1.7,2.6,1.0,0.7,0.4,0.5,2.4,10.2,0.0,0.0,1.9,71.0,73.0
215,Grayson Allen,MEM,24,2019-20,38,16,22,18.9,8.7,3.1,6.6,46.6,1.5,3.7,40.4,1.0,1.2,86.7,0.2,2.0,2.2,1.4,0.9,0.3,0.1,1.4,13.5,0.0,0.0,-2.5,72.0,74.0
216,Hamidou Diallo,OKC,21,2019-20,46,25,21,19.5,6.9,2.9,6.4,44.6,0.3,1.2,28.1,0.8,1.4,60.3,1.0,2.7,3.6,0.8,1.1,0.8,0.2,2.2,14.3,3.0,0.0,0.3,70.0,75.0
217,Harrison Barnes,SAC,28,2019-20,72,31,41,34.5,14.5,5.1,11.0,46.0,1.4,3.7,38.1,3.0,3.7,80.1,1.1,3.9,4.9,2.2,1.2,0.6,0.2,1.3,24.8,4.0,0.0,-1.7,78.0,78.0
218,Harry Giles III,SAC,22,2019-20,46,22,24,14.5,6.9,3.0,5.5,55.4,0.0,0.0,0.0,0.8,1.1,77.6,0.9,3.2,4.1,1.3,1.0,0.5,0.4,2.6,15.4,2.0,0.0,-2.8,75.0,75.0
220,Hassan Whiteside,POR,31,2019-20,67,34,33,30.0,15.5,6.5,10.5,62.1,0.1,0.1,57.1,2.4,3.6,68.6,3.9,9.7,13.5,1.2,1.8,0.4,2.9,2.9,41.6,51.0,0.0,1.7,83.0,87.0
221,Henry Ellenson,BKN,23,2019-20,5,2,3,3.0,0.4,0.2,1.4,14.3,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,2.1,0.0,0.0,2.4,69.0,70.0
222,Ian Mahinmi,WAS,33,2019-20,38,15,23,21.3,7.4,2.7,5.5,49.5,0.1,0.7,19.2,1.8,3.0,61.9,2.1,3.7,5.7,1.3,1.2,0.8,1.2,3.0,21.0,1.0,0.0,-2.1,74.0,76.0
223,Ignas Brazdeikis,NYK,21,2019-20,9,1,8,5.9,1.9,0.7,2.4,27.3,0.1,1.0,11.1,0.4,0.6,80.0,0.2,0.3,0.6,0.4,0.2,0.0,0.1,0.3,3.3,0.0,0.0,-1.3,70.0,69.0
224,Iman Shumpert,BKN,30,2019-20,13,9,4,18.5,4.2,1.6,4.9,32.8,0.6,2.5,24.2,0.3,0.5,57.1,0.7,1.9,2.6,0.9,0.8,0.9,0.2,1.6,11.1,0.0,0.0,-4.0,72.0,72.0
225,Isaac Bonga,WAS,20,2019-20,66,22,44,18.9,5.0,1.8,3.5,50.4,0.4,1.1,35.2,1.0,1.3,81.2,1.1,2.3,3.4,1.2,0.9,0.7,0.3,2.4,12.9,0.0,0.0,-0.5,72.0,73.0
226,Isaiah Hartenstein,HOU,22,2019-20,23,16,7,11.6,4.7,1.9,2.9,65.7,0.0,0.2,0.0,0.8,1.2,67.9,1.3,2.7,3.9,0.8,0.7,0.4,0.5,1.8,12.6,2.0,0.0,1.7,73.0,74.0
227,Isaiah Roby,OKC,22,2019-20,3,2,1,3.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.3,0.5,0.0,0.0,-1.3,70.0,70.0
228,Isaiah Thomas,WAS,31,2019-20,40,14,26,23.1,12.2,4.4,10.7,40.8,2.0,4.7,41.3,1.6,1.9,81.6,0.3,1.4,1.7,3.7,1.9,0.3,0.2,1.9,19.2,1.0,0.0,-5.0,77.0,77.0
234,Ivica Zubac,LAC,23,2019-20,72,49,23,18.4,8.3,3.3,5.3,61.3,0.0,0.0,0.0,1.7,2.3,74.7,2.7,4.8,7.5,1.1,0.8,0.2,0.9,2.3,21.6,10.0,0.0,3.2,78.0,77.0
241,JJ Redick,NOP,36,2019-20,60,26,34,26.3,15.3,4.8,10.5,45.3,3.0,6.6,45.3,2.8,3.1,89.2,0.2,2.4,2.5,2.0,1.3,0.3,0.2,1.6,21.5,0.0,0.0,-0.4,78.0,79.0
242,J.R. Smith,LAL,34,2019-20,6,2,4,13.2,2.8,1.2,3.7,31.8,0.2,1.8,9.1,0.3,0.3,100.0,0.0,0.8,0.8,0.5,0.7,0.2,0.0,0.8,4.4,0.0,0.0,-5.8,74.0,69.0
243,Ja Morant,MEM,20,2019-20,67,33,34,31.0,17.8,6.7,14.0,47.7,0.9,2.7,33.5,3.6,4.6,77.6,0.8,3.1,3.9,7.3,3.3,0.9,0.3,1.6,33.5,15.0,2.0,-0.3,85.0,81.0
244,JaKarr Sampson,IND,27,2019-20,34,21,13,13.8,4.6,2.0,3.4,59.1,0.1,0.4,15.4,0.5,0.8,66.7,0.6,2.0,2.6,0.6,0.4,0.5,0.4,1.9,10.7,0.0,0.0,0.6,73.0,73.0
245,JaMychal Green,LAC,30,2019-20,63,43,20,20.7,6.8,2.4,5.6,42.9,1.5,3.8,38.7,0.6,0.8,75.0,1.2,4.9,6.2,0.8,0.9,0.5,0.4,2.8,17.0,7.0,0.0,2.4,72.0,76.0
246,JaVale McGee,LAL,32,2019-20,68,51,17,16.6,6.6,2.9,4.5,63.7,0.0,0.1,50.0,0.8,1.2,64.6,1.8,3.9,5.7,0.5,0.8,0.5,1.4,2.3,19.2,2.0,0.0,1.9,78.0,77.0
247,Jabari Parker,SAC,25,2019-20,38,9,29,24.2,14.0,5.8,11.3,51.0,0.8,3.1,26.9,1.6,2.1,75.3,1.6,4.0,5.6,1.8,1.7,1.2,0.4,2.6,26.5,2.0,0.0,-2.5,77.0,78.0
