number,player,team,age,season,gp,w,l,min_column,pts,fgm,fga,fg,threepm,threepa,threep,ftm,fta,ft,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,plus_minus,rankings,predictions
248,Jacob Evans,MIN,23,2019-20,29,8,21,14.4,4.4,1.6,4.6,33.6,0.4,1.3,33.3,0.9,1.0,86.2,0.3,1.1,1.4,1.1,0.9,0.4,0.4,1.4,9.2,0.0,0.0,-3.5,71.0,71.0
249,Jae Crowder,MIA,29,2019-20,65,29,36,28.8,10.5,3.5,8.7,40.1,2.1,6.1,34.3,1.5,1.9,77.6,0.8,5.1,5.9,2.5,1.1,1.1,0.4,2.2,24.7,6.0,0.0,-2.0,77.0,76.0
250,Jahlil Okafor,NOP,24,2019-20,30,9,21,15.6,8.1,3.4,5.4,62.3,0.0,0.1,33.3,1.3,2.1,64.5,1.6,2.6,4.2,1.2,1.3,0.2,0.7,2.2,16.7,2.0,0.0,-3.4,76.0,76.0
251,Jake Layman,MIN,26,2019-20,23,11,12,22.0,9.1,3.5,7.8,45.3,1.0,3.1,33.3,1.0,1.4,75.0,0.7,1.7,2.5,0.7,1.0,0.7,0.4,2.0,15.6,0.0,0.0,1.0,73.0,75.0
252,Jakob Poeltl,SAS,24,2019-20,66,30,36,17.7,5.6,2.5,4.0,62.4,0.0,0.0,0.0,0.6,1.3,46.5,2.0,3.7,5.7,1.8,0.8,0.6,1.4,1.9,20.3,4.0,0.0,1.8,76.0,77.0
253,Jalen Brunson,DAL,23,2019-20,57,34,23,17.9,8.2,3.2,6.8,46.6,0.8,2.1,35.8,1.1,1.3,81.3,0.4,2.0,2.4,3.3,1.2,0.4,0.1,1.3,16.2,2.0,0.0,3.0,77.0,75.0
254,Jalen Lecque,PHX,20,2019-20,5,2,3,6.3,2.0,0.8,2.0,40.0,0.0,0.8,0.0,0.4,0.4,100.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.6,2.7,0.0,0.0,-4.0,68.0,70.0
255,Jalen McDaniels,CHA,22,2019-20,16,7,9,18.3,5.6,2.1,4.4,47.1,0.6,1.5,37.5,0.9,1.1,82.4,0.9,3.1,4.1,0.8,0.7,0.5,0.2,2.3,13.0,0.0,0.0,-1.4,70.0,73.0
256,Jamal Crawford,BKN,40,2019-20,1,1,0,6.0,5.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,9.5,0.0,0.0,4.0,75.0,69.0
257,Jamal Murray,DEN,23,2019-20,59,38,21,32.3,18.5,6.9,15.2,45.6,1.9,5.5,34.6,2.8,3.1,88.1,0.8,3.2,4.0,4.8,2.2,1.1,0.3,1.7,32.6,3.0,0.0,4.1,85.0,84.0
258,James Ennis III,ORL,29,2019-20,69,42,27,18.3,6.6,2.3,5.2,44.6,0.8,2.4,32.5,1.1,1.4,80.6,1.0,2.5,3.6,0.9,0.8,0.5,0.3,2.0,13.8,1.0,0.0,0.0,75.0,74.0
263,James Harden,HOU,30,2019-20,68,43,25,36.5,34.3,9.9,22.3,44.4,4.4,12.4,35.5,10.2,11.8,86.5,1.0,5.5,6.6,7.5,4.5,1.8,0.9,3.3,57.1,22.0,4.0,4.2,96.0,96.0
264,James Johnson,MIN,33,2019-20,32,14,18,19.4,8.4,3.2,6.7,47.9,1.0,2.8,36.3,1.0,1.5,64.6,0.8,2.9,3.7,2.3,1.5,0.8,1.0,2.5,20.2,0.0,0.0,-2.3,76.0,74.0
265,Jared Dudley,LAL,34,2019-20,45,30,15,8.1,1.5,0.5,1.3,40.0,0.4,0.9,42.9,0.0,0.0,100.0,0.1,1.0,1.2,0.6,0.2,0.3,0.1,0.9,4.9,0.0,0.0,0.4,72.0,72.0
266,Jared Harper,NYK,22,2019-20,3,1,2,2.6,0.7,0.3,1.3,25.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,-3.7,67.0,70.0
267,Jaren Jackson Jr.,MEM,20,2019-20,57,28,29,28.5,17.4,6.2,13.2,46.9,2.5,6.5,39.4,2.4,3.3,74.7,1.0,3.6,4.6,1.4,1.7,0.7,1.6,4.1,30.1,3.0,0.0,-1.8,83.0,79.0
272,Jarred Vanderbilt,MIN,21,2019-20,11,6,5,4.2,1.1,0.5,0.7,62.5,0.0,0.1,0.0,0.2,0.2,100.0,0.3,0.5,0.8,0.2,0.6,0.3,0.1,0.5,2.8,0.0,0.0,-2.5,70.0,70.0
273,Jarrell Brantley,UTA,24,2019-20,9,3,6,10.7,2.7,1.1,3.1,35.7,0.3,1.4,23.1,0.1,0.2,50.0,0.2,2.0,2.2,1.2,0.8,0.3,0.6,0.8,9.1,0.0,0.0,-4.1,67.0,69.0
274,Jarrett Allen,BKN,22,2019-20,70,33,37,26.5,11.1,4.3,6.6,64.9,0.0,0.1,0.0,2.4,3.9,63.3,3.1,6.5,9.6,1.6,1.1,0.6,1.3,2.3,29.5,30.0,0.0,0.6,81.0,79.0
275,Jarrett Culver,MIN,21,2019-20,63,19,44,23.9,9.2,3.7,9.0,40.4,1.0,3.5,29.9,0.9,1.9,46.2,1.1,2.3,3.4,1.7,1.3,0.9,0.6,2.0,19.1,0.0,0.0,-1.6,74.0,76.0
276,Jarrod Uthoff,WAS,27,2019-20,7,4,3,7.6,2.7,1.0,2.6,38.9,0.4,1.3,33.3,0.3,0.3,100.0,0.3,0.6,0.9,0.0,0.0,0.1,0.0,0.3,4.2,0.0,0.0,1.4,67.0,69.0
277,Javonte Green,BOS,26,2019-20,48,33,15,9.7,3.4,1.3,2.6,50.0,0.2,0.7,27.3,0.6,0.9,66.7,0.5,1.4,1.9,0.5,0.5,0.5,0.2,0.9,8.1,0.0,0.0,-0.6,72.0,72.0
278,Jaxson Hayes,NOP,20,2019-20,64,28,36,16.9,7.4,2.7,4.0,67.2,0.0,0.1,25.0,1.9,3.0,64.7,1.5,2.5,4.0,0.9,0.8,0.4,0.9,2.5,16.5,3.0,0.0,-0.9,76.0,75.0
279,Jaylen Brown,BOS,23,2019-20,57,38,19,33.9,20.3,7.5,15.6,48.1,2.3,5.9,38.2,3.1,4.3,72.4,1.1,5.3,6.4,2.1,2.2,1.1,0.4,2.9,33.4,8.0,0.0,4.0,84.0,81.0
280,Jaylen Hoard,POR,21,2019-20,13,7,6,7.9,2.9,1.2,2.5,46.9,0.0,0.2,0.0,0.6,1.0,61.5,1.1,1.4,2.5,0.3,0.3,0.4,0.0,0.9,7.2,0.0,0.0,0.8,69.0,70.0
281,Jaylen Nowell,MIN,20,2019-20,15,2,13,10.1,3.8,1.3,3.5,35.8,0.2,1.7,11.5,1.1,1.1,94.1,0.2,0.7,0.9,1.3,0.2,0.2,0.1,0.7,7.3,0.0,0.0,0.7,71.0,69.0
282,Jayson Tatum,BOS,22,2019-20,66,46,20,34.3,23.4,8.4,18.6,45.0,2.9,7.1,40.3,3.8,4.7,81.2,1.0,6.0,7.0,3.0,2.3,1.4,0.9,2.1,40.8,10.0,0.0,7.6,87.0,88.0
283,Jeff Green,HOU,33,2019-20,48,28,20,20.0,9.4,3.3,7.2,46.2,1.3,3.8,33.9,1.5,1.9,80.2,0.5,2.3,2.8,1.0,0.9,0.5,0.4,1.9,16.3,0.0,0.0,-1.8,76.0,76.0
284,Jeff Teague,ATL,32,2019-20,59,22,37,24.8,10.9,3.6,8.3,43.6,0.7,2.0,36.8,2.9,3.3,87.3,0.5,1.9,2.4,5.2,2.0,0.7,0.3,1.8,22.8,3.0,0.0,-2.9,78.0,74.0
285,Jerami Grant,DEN,26,2019-20,71,45,26,26.6,12.0,4.3,8.9,47.8,1.4,3.5,38.9,2.1,2.8,75.0,0.8,2.7,3.5,1.2,0.9,0.7,0.8,2.2,21.7,0.0,0.0,-1.2,77.0,79.0
286,Jeremiah Martin,BKN,24,2019-20,9,6,3,11.0,7.1,2.7,5.9,45.3,0.6,2.0,27.8,1.2,1.6,78.6,0.1,1.0,1.1,2.0,0.4,0.8,0.2,0.8,14.0,0.0,0.0,-1.9,67.0,74.0
287,Jeremy Lamb,IND,28,2019-20,46,27,19,28.1,12.5,4.7,10.4,45.1,1.2,3.4,33.5,2.0,2.4,83.6,0.5,3.8,4.3,2.1,1.1,1.2,0.5,2.3,24.8,2.0,0.0,0.0,77.0,78.0
288,Jeremy Pargo,GSW,34,2019-20,3,0,3,14.8,8.3,3.7,7.3,50.0,1.0,2.3,42.9,0.0,0.3,0.0,0.3,0.7,1.0,2.7,1.3,0.3,0.0,2.7,13.2,0.0,0.0,0.0,69.0,74.0
289,Jerian Grant,WAS,27,2019-20,6,1,5,13.4,4.5,1.7,4.5,37.0,0.3,1.3,25.0,0.8,1.2,71.4,0.3,0.7,1.0,1.5,0.5,0.2,0.2,1.8,8.5,0.0,0.0,-0.5,72.0,69.0
290,Jerome Robinson,WAS,23,2019-20,63,36,27,15.5,5.1,1.8,4.9,37.1,0.8,2.4,32.0,0.6,0.9,70.2,0.2,1.8,2.0,1.4,0.8,0.4,0.3,1.8,11.0,0.0,0.0,-0.5,73.0,73.0
291,Jevon Carter,PHX,24,2019-20,58,29,29,16.3,4.9,1.7,4.2,41.6,1.1,2.5,42.5,0.4,0.5,85.2,0.5,1.5,2.0,1.4,0.6,0.8,0.3,1.5,12.3,0.0,0.0,-0.2,73.0,74.0
292,Jimmy Butler,MIA,30,2019-20,58,38,20,33.8,19.9,5.9,13.1,45.5,0.5,2.1,24.4,7.6,9.1,83.4,1.8,4.8,6.7,6.0,2.2,1.8,0.6,1.4,41.8,11.0,3.0,4.4,89.0,87.0
293,Joakim Noah,LAC,35,2019-20,5,4,1,10.0,2.8,0.8,1.6,50.0,0.0,0.0,0.0,1.2,1.6,75.0,1.0,2.2,3.2,1.4,1.2,0.2,0.2,1.8,8.7,0.0,0.0,-3.8,72.0,73.0
294,Joe Chealey,CHA,24,2019-20,4,1,3,8.4,0.5,0.0,1.8,0.0,0.0,1.0,0.0,0.5,0.5,100.0,0.0,0.0,0.0,0.3,0.5,1.0,0.0,0.5,3.4,0.0,0.0,-4.5,68.0,67.0
295,Joe Harris,BKN,28,2019-20,69,33,36,30.8,14.5,5.5,11.4,48.6,2.5,5.9,42.4,0.9,1.3,71.9,0.9,3.4,4.3,2.1,1.5,0.6,0.2,2.3,23.8,0.0,0.0,1.2,77.0,79.0
296,Joe Ingles,UTA,32,2019-20,72,44,28,29.7,9.8,3.4,7.7,44.5,2.0,4.9,39.9,1.0,1.3,78.7,0.4,3.5,3.9,5.2,2.0,0.9,0.2,2.1,23.4,3.0,0.0,3.3,78.0,79.0
297,Joel Embiid,PHI,26,2019-20,51,32,19,29.5,23.0,7.5,15.7,47.7,1.1,3.4,33.1,6.9,8.5,80.7,2.8,8.9,11.6,3.0,3.1,0.9,1.3,3.4,44.8,37.0,0.0,3.2,91.0,90.0
298,John Collins,ATL,22,2019-20,41,15,26,33.2,21.6,8.6,14.8,58.3,1.4,3.6,40.1,2.9,3.7,80.0,2.8,7.3,10.1,1.5,1.8,0.8,1.6,3.4,41.2,22.0,0.0,-4.0,85.0,88.0
299,John Henson,DET,29,2019-20,40,8,32,15.0,5.5,2.4,4.3,55.6,0.2,0.9,22.2,0.6,1.2,50.0,1.2,2.9,4.1,1.4,0.9,0.6,1.1,2.0,16.5,1.0,0.0,-0.5,75.0,75.0
300,John Konchar,MEM,24,2019-20,19,9,10,9.5,2.8,1.3,1.9,64.9,0.3,0.5,50.0,0.1,0.1,50.0,0.9,1.5,2.5,1.2,0.4,0.4,0.2,0.4,8.8,0.0,0.0,1.9,72.0,72.0
301,Johnathan Motley,LAC,25,2019-20,13,8,5,3.2,2.2,0.8,1.2,73.3,0.1,0.1,100.0,0.4,0.5,71.4,0.2,0.5,0.8,0.6,0.4,0.2,0.0,0.5,4.3,0.0,0.0,0.2,71.0,70.0
302,Johnathan Williams,WAS,25,2019-20,15,7,8,12.0,3.0,1.3,2.3,55.9,0.0,0.1,0.0,0.5,0.9,53.8,1.6,2.7,4.3,0.5,0.3,0.1,0.5,1.1,10.4,0.0,0.0,-2.6,70.0,73.0
303,Jonah Bolden,PHX,24,2019-20,7,6,1,6.7,1.4,0.6,1.6,36.4,0.0,0.6,0.0,0.3,0.6,50.0,0.4,0.9,1.3,0.0,0.3,0.4,0.3,1.4,4.8,0.0,0.0,0.1,73.0,70.0
304,Jonas Valanciunas,MEM,28,2019-20,70,32,38,26.4,14.9,6.2,10.6,58.5,0.5,1.3,35.2,2.1,2.9,74.0,3.0,8.2,11.3,1.9,1.8,0.4,1.1,2.6,34.0,39.0,1.0,0.1,81.0,81.0
305,Jonathan Isaac,ORL,22,2019-20,34,15,19,28.8,11.9,4.6,9.8,47.0,0.9,2.8,34.0,1.8,2.3,77.9,1.7,5.1,6.8,1.4,1.4,1.6,2.3,2.4,32.3,5.0,0.0,0.5,82.0,77.0
306,Jordan Bell,CLE,25,2019-20,29,8,21,8.8,3.2,1.2,2.3,52.2,0.1,0.4,33.3,0.7,1.1,61.3,1.0,1.8,2.8,0.6,0.7,0.1,0.3,0.7,8.0,0.0,0.0,-0.3,74.0,72.0
307,Jordan Bone,DET,22,2019-20,10,3,7,5.3,1.2,0.5,2.0,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.2,0.1,0.0,0.6,3.0,0.0,0.0,0.0,68.0,71.0
308,Jordan Clarkson,UTA,28,2019-20,71,34,37,24.0,15.2,5.5,12.2,45.4,2.1,5.8,36.8,1.9,2.3,83.6,0.7,1.9,2.6,1.9,1.4,0.6,0.2,1.5,22.5,0.0,0.0,-0.1,78.0,79.0
309,Jordan McLaughlin,MIN,24,2019-20,30,7,23,19.7,7.6,2.9,5.9,48.9,1.0,2.5,38.2,0.9,1.3,66.7,0.2,1.4,1.6,4.2,1.0,1.1,0.1,1.0,18.6,2.0,0.0,-2.3,74.0,74.0
310,Jordan McRae,DET,29,2019-20,37,12,25,21.2,11.5,4.0,9.9,40.7,1.2,3.4,35.7,2.2,2.9,76.1,0.5,2.9,3.4,2.5,1.2,0.6,0.4,2.0,21.1,0.0,0.0,-2.0,74.0,76.0
311,Jordan Poole,GSW,21,2019-20,57,12,45,22.3,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,0.2,1.9,2.1,2.4,1.3,0.6,0.2,1.6,15.9,0.0,0.0,-3.5,72.0,73.0
312,Josh Gray,NOP,26,2019-20,2,1,1,11.4,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,2.5,0.0,0.0,0.5,1.2,0.0,0.0,-3.5,67.0,70.0
313,Josh Hart,NOP,25,2019-20,65,26,39,27.0,10.1,3.5,8.2,42.3,1.9,5.4,34.2,1.3,1.8,73.9,0.9,5.6,6.5,1.7,1.2,1.0,0.4,2.5,23.2,10.0,0.0,-1.8,75.0,76.0
314,Josh Jackson,MEM,23,2019-20,22,10,12,17.3,9.0,3.2,7.2,44.0,1.0,3.3,31.9,1.6,2.3,70.0,0.5,2.5,3.0,1.6,1.3,0.8,0.4,1.8,17.4,0.0,0.0,1.1,73.0,76.0
315,Josh Magette,ORL,30,2019-20,8,3,5,4.7,1.5,0.6,1.9,33.3,0.1,0.5,25.0,0.1,0.3,50.0,0.1,0.6,0.8,0.6,0.6,0.4,0.1,0.5,4.2,0.0,0.0,0.1,68.0,70.0
316,Josh Okogie,MIN,21,2019-20,62,19,43,25.0,8.6,2.7,6.4,42.7,0.7,2.5,26.6,2.5,3.1,79.6,1.4,2.9,4.3,1.6,1.4,1.1,0.4,2.2,19.3,0.0,0.0,-2.6,74.0,76.0
317,Josh Reaves,DAL,23,2019-20,4,2,2,7.1,2.0,0.8,2.3,33.3,0.0,0.5,0.0,0.5,0.5,100.0,0.3,0.5,0.8,0.8,0.0,0.0,0.0,1.3,4.0,0.0,0.0,1.3,67.0,69.0
318,Josh Richardson,PHI,26,2019-20,55,33,22,30.8,13.7,5.1,11.7,43.0,1.5,4.5,34.1,2.1,2.6,80.9,0.7,2.4,3.2,2.9,1.9,0.9,0.7,2.5,24.9,0.0,0.0,2.2,80.0,79.0
319,Jrue Holiday,NOP,30,2019-20,61,26,35,34.7,19.1,7.5,16.5,45.5,2.0,5.7,35.3,2.1,3.0,70.9,1.3,3.5,4.8,6.7,3.0,1.6,0.8,2.4,39.1,10.0,1.0,0.6,83.0,86.0
327,Julius Randle,NYK,25,2019-20,64,21,43,32.5,19.5,7.2,15.7,46.0,1.0,3.6,27.7,4.0,5.5,73.3,2.4,7.4,9.7,3.1,3.0,0.8,0.3,2.8,36.2,30.0,0.0,-3.8,80.0,87.0
328,Justin Anderson,BKN,26,2019-20,10,6,4,10.7,2.8,1.0,3.8,26.3,0.6,2.9,20.7,0.2,0.4,50.0,0.1,2.0,2.1,0.8,0.4,0.0,0.6,1.3,7.9,0.0,0.0,0.3,71.0,71.0
329,Justin Holiday,IND,31,2019-20,73,45,28,25.0,8.3,2.8,6.7,42.8,1.8,4.5,40.5,0.7,0.9,79.1,0.4,2.8,3.3,1.3,0.6,1.2,0.6,1.9,18.9,0.0,0.0,0.5,75.0,76.0
330,Justin Jackson,DAL,25,2019-20,65,39,26,16.1,5.5,2.1,5.2,39.6,0.7,2.5,29.4,0.6,0.8,84.0,0.4,2.0,2.4,0.8,0.2,0.2,0.2,1.1,10.5,0.0,0.0,0.1,72.0,74.0
331,Justin James,SAC,23,2019-20,36,14,22,6.5,2.5,1.0,2.3,41.7,0.3,0.8,31.0,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.2,0.2,0.3,0.5,5.3,0.0,0.0,-0.7,71.0,70.0
332,Justin Patton,DET,23,2019-20,5,2,3,4.8,1.8,0.8,2.0,40.0,0.2,0.8,25.0,0.0,0.0,0.0,0.2,0.8,1.0,0.4,0.4,0.0,0.0,0.8,3.2,0.0,0.0,-3.2,69.0,70.0
333,Justin Robinson,WAS,22,2019-20,9,2,7,5.4,1.4,0.6,1.3,41.7,0.3,0.6,60.0,0.0,0.0,0.0,0.1,0.4,0.6,0.8,0.3,0.0,0.1,0.2,3.3,0.0,0.0,3.4,67.0,70.0
334,Justin Wright-Foreman,UTA,22,2019-20,4,1,3,11.3,4.8,1.8,5.0,35.0,0.5,2.5,20.0,0.8,1.0,75.0,0.0,1.3,1.3,1.8,0.8,0.5,0.0,1.3,9.6,0.0,0.0,-7.5,67.0,71.0
335,Justise Winslow,MEM,24,2019-20,11,7,4,32.0,11.3,4.5,11.7,38.8,0.5,2.5,22.2,1.6,2.5,66.7,1.5,5.2,6.6,4.0,2.2,0.6,0.5,3.5,26.3,1.0,0.0,4.7,77.0,79.0
336,Jusuf Nurkic,POR,25,2019-20,8,6,2,31.6,17.6,6.8,13.6,49.5,0.3,1.3,20.0,3.9,4.4,88.6,2.9,7.4,10.3,4.0,2.4,1.4,2.0,4.9,43.7,3.0,0.0,-0.5,84.0,86.0
337,Juwan Morgan,UTA,23,2019-20,21,12,9,6.4,1.7,0.7,1.2,57.7,0.1,0.4,37.5,0.1,0.2,75.0,0.5,0.9,1.4,0.3,0.3,0.0,0.1,0.9,3.9,0.0,0.0,1.4,70.0,70.0
338,KZ Okpala,MIA,21,2019-20,5,2,3,5.2,1.4,0.6,1.0,60.0,0.0,0.2,0.0,0.2,0.4,50.0,0.2,0.8,1.0,0.2,0.2,0.4,0.2,0.4,4.5,0.0,0.0,-3.0,71.0,70.0
339,Kadeem Allen,NYK,27,2019-20,10,3,7,11.7,5.0,1.9,4.4,43.2,0.5,1.6,31.3,0.7,1.1,63.6,0.2,0.7,0.9,2.1,0.8,0.5,0.2,0.7,10.5,0.0,0.0,-2.1,72.0,71.0
340,Karl-Anthony Towns,MIN,24,2019-20,35,10,25,33.9,26.5,9.0,17.8,50.8,3.3,7.9,41.2,5.1,6.5,79.6,2.7,8.1,10.8,4.4,3.1,0.9,1.2,3.3,49.3,24.0,0.0,-0.4,90.0,90.0
341,Kawhi Leonard,LAC,29,2019-20,57,41,16,32.4,27.1,9.3,19.9,47.0,2.2,5.7,37.8,6.2,7.1,88.6,0.9,6.1,7.1,4.9,2.6,1.8,0.6,2.0,47.4,13.0,1.0,8.4,96.0,96.0
342,Keita Bates-Diop,DEN,24,2019-20,44,10,34,16.9,6.5,2.3,5.3,42.7,0.8,2.3,33.0,1.2,1.7,72.0,0.6,2.3,2.9,0.7,0.4,0.4,0.5,1.0,13.6,0.0,0.0,-3.9,71.0,73.0
343,Kelan Martin,MIN,24,2019-20,31,12,19,16.0,6.4,2.3,5.8,39.2,0.8,3.1,26.0,1.0,1.0,96.8,0.4,2.7,3.1,0.7,0.6,0.2,0.3,1.6,12.1,0.0,0.0,-0.7,69.0,73.0
344,Keldon Johnson,SAS,20,2019-20,17,8,9,17.7,9.1,3.1,5.2,59.6,0.8,1.3,59.1,2.1,2.6,79.5,0.6,2.8,3.4,0.9,0.8,0.8,0.1,1.6,16.5,1.0,0.0,3.9,76.0,75.0
345,Kelly Olynyk,MIA,29,2019-20,67,41,26,19.4,8.2,2.7,5.9,46.2,1.4,3.5,40.6,1.3,1.5,86.0,0.7,3.9,4.6,1.7,1.1,0.7,0.3,2.6,18.2,3.0,0.0,0.9,76.0,74.0
346,Kelly Oubre Jr.,PHX,24,2019-20,56,22,34,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78.0,1.2,5.3,6.4,1.5,1.5,1.3,0.7,3.4,33.2,9.0,0.0,-0.5,81.0,86.0
350,Kemba Walker,BOS,30,2019-20,56,37,19,31.1,20.4,6.8,15.9,42.5,3.2,8.4,38.1,3.7,4.3,86.4,0.6,3.2,3.9,4.8,2.1,0.9,0.5,1.6,34.3,2.0,0.0,4.4,86.0,87.0
351,Kendrick Nunn,MIA,24,2019-20,67,42,25,29.3,15.3,6.0,13.6,43.9,2.0,5.8,35.0,1.3,1.5,85.0,0.3,2.4,2.7,3.3,1.7,0.8,0.2,2.3,24.9,0.0,0.0,0.9,76.0,78.0
352,Kenrich Williams,NOP,25,2019-20,39,12,27,21.3,3.5,1.3,3.8,34.7,0.6,2.5,25.8,0.2,0.7,34.6,1.3,3.5,4.8,1.5,0.6,0.7,0.5,2.3,14.5,0.0,0.0,-0.7,71.0,72.0
353,Kent Bazemore,SAC,30,2019-20,68,32,36,24.8,8.8,2.9,7.9,37.5,1.2,3.6,34.4,1.7,2.2,76.9,0.4,3.9,4.3,1.4,1.3,1.1,0.6,2.9,19.7,0.0,0.0,0.1,74.0,76.0
354,Kentavious Caldwell-Pope,LAL,27,2019-20,69,51,18,25.5,9.3,3.4,7.3,46.7,1.3,3.5,38.5,1.1,1.5,77.5,0.6,1.5,2.1,1.6,0.9,0.8,0.2,1.9,16.4,0.0,0.0,2.2,75.0,76.0
355,Kevin Hervey,OKC,23,2019-20,10,3,7,5.2,1.7,0.7,2.7,25.9,0.3,2.0,15.0,0.0,0.0,0.0,0.1,1.1,1.2,0.5,0.0,0.1,0.1,0.4,4.5,0.0,0.0,-3.4,68.0,69.0
356,Kevin Huerter,ATL,21,2019-20,56,19,37,31.4,12.2,4.5,10.9,41.3,2.3,6.0,38.0,0.9,1.1,82.8,0.6,3.4,4.1,3.8,1.6,0.9,0.5,2.5,25.4,2.0,0.0,-4.3,75.0,77.0
357,Kevin Knox II,NYK,20,2019-20,65,21,44,17.9,6.4,2.2,6.2,35.9,1.0,3.1,32.7,1.0,1.6,65.3,0.4,2.4,2.8,0.9,0.7,0.4,0.4,1.6,12.9,0.0,0.0,-2.8,72.0,73.0
363,Kevin Love,CLE,31,2019-20,56,16,40,31.8,17.6,5.8,13.0,45.0,2.6,7.0,37.4,3.3,3.9,85.4,1.0,8.8,9.8,3.2,2.5,0.6,0.3,1.6,34.4,23.0,0.0,-4.8,82.0,81.0
364,Kevin Porter Jr.,CLE,20,2019-20,50,15,35,23.2,10.0,3.7,8.4,44.2,1.1,3.2,33.5,1.5,2.0,72.3,0.4,2.8,3.2,2.2,1.9,0.9,0.3,2.7,18.9,0.0,0.0,-5.8,75.0,76.0
365,Kevon Looney,GSW,24,2019-20,20,6,14,13.1,3.4,1.5,4.0,36.7,0.1,0.7,7.1,0.5,0.6,75.0,1.4,1.9,3.3,1.0,0.6,0.6,0.3,1.7,11.0,0.0,0.0,-5.0,74.0,69.0
366,Khem Birch,ORL,27,2019-20,48,19,29,19.2,4.4,1.5,3.0,51.0,0.0,0.0,0.0,1.4,2.1,65.3,1.9,2.7,4.6,1.0,0.6,0.4,0.5,1.9,13.5,0.0,0.0,-2.7,72.0,73.0
367,Khris Middleton,MIL,28,2019-20,62,46,16,29.9,20.9,7.6,15.3,49.7,2.4,5.7,41.5,3.4,3.7,91.6,0.7,5.5,6.2,4.3,2.2,0.9,0.1,2.3,35.4,7.0,0.0,8.1,86.0,87.0
368,Khyri Thomas,DET,24,2019-20,8,2,6,7.7,2.1,0.6,2.1,29.4,0.6,1.8,35.7,0.3,0.5,50.0,0.1,0.0,0.1,0.4,0.4,0.4,0.0,1.1,3.6,0.0,0.0,-4.5,68.0,69.0
369,Kostas Antetokounmpo,LAL,22,2019-20,5,3,2,4.0,1.4,0.6,0.6,100.0,0.0,0.0,0.0,0.2,0.4,50.0,0.4,0.2,0.6,0.4,0.2,0.0,0.0,0.4,2.5,0.0,0.0,1.4,69.0,70.0
370,Kris Dunn,CHI,26,2019-20,51,19,32,24.9,7.3,3.0,6.7,44.4,0.6,2.2,25.9,0.8,1.1,74.1,0.5,3.2,3.6,3.4,1.3,2.0,0.3,3.1,22.4,0.0,0.0,-0.6,76.0,74.0
371,Kristaps Porzingis,DAL,24,2019-20,57,32,25,31.8,20.4,7.0,16.4,42.7,2.5,7.1,35.2,4.0,5.0,79.9,1.8,7.7,9.5,1.8,1.6,0.7,2.0,3.2,41.1,25.0,0.0,4.7,87.0,87.0
372,Ky Bowman,GSW,23,2019-20,45,9,36,22.6,7.4,3.0,7.1,41.7,0.7,2.4,30.8,0.8,0.9,82.9,0.5,2.2,2.7,2.9,1.6,1.0,0.2,2.3,17.1,0.0,0.0,-3.9,71.0,74.0
